Text,URL
Daska,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=43
Pasroor,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=96
AliPurChatta,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=88
Sambrial,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=123
Eminabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=91
Multan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=7
Sialkot,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=57
Ghakhar,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=118
Jalalpurpirwala,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=48
Gujranwala,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=3
ShujaAbad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=47
Noshehrawirkan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=120
Qadirpurrawan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=136
Gojra,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=44
Qiladedarsingh,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=119
Kamalia,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=45
Kamoke,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=80
PirMahal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=46
Wazirabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=105
DunyaPur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=35
TTSingh,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=21
Kahrorpacca,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=33
Lodhran,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=28
Dinga,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=122
Burewala,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=15
Gujrat,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=17
Mailsi,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=32
JalalPurJattan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=42
